Sales Person,Country,Product,Date,Amount,Boxes Shipped,Payment Type,Time of Day,Unnamed: 8
Jehu Rudeforth,UK,Mint Chip Choco,04-01-2022,5320.0,180,Card,Evening,
Van Tuxwell,India,85% Dark Bars,01-08-2022,7896.0,94,UPI,Morning,
Gigi Bohling,India,Peanut Butter Cubes,07-07-2022,4501.0,91,Card,Afternoon,
Jan Morforth,Australia,Peanut Butter Cubes,27-04-2022,12726.0,342,Card,Afternoon,
Jehu Rudeforth,UK,Peanut Butter Cubes,24-02-2022,13685.0,184,Cash,Morning,
Van Tuxwell,India,Smooth Sliky Salty,06-06-2022,5376.0,38,Card,Morning,
Oby Sorrel,UK,99% Dark & Pure,25-01-2022,13685.0,176,Cash,Evening,
Gunar Cockshoot,Australia,After Nines,24-03-2022,3080.0,73,Cash,Afternoon,
Jehu Rudeforth,New Zealand,50% Dark Bites,20-04-2022,3990.0,59,Card,Afternoon,
Brien Boise,Australia,99% Dark & Pure,04-07-2022,2835.0,102,Cash,Afternoon,
Rafaelita Blaksland,UK,Smooth Sliky Salty,13-01-2022,4704.0,62,Cash,Morning,
Barr Faughny,USA,Orange Choco,10-03-2022,3703.0,11,Card,Afternoon,
Mallorie Waber,Canada,Eclairs,13-01-2022,1442.0,286,Cash,Evening,
Karlen McCaffrey,New Zealand,Drinking Coco,28-07-2022,168.0,156,Card,Morning,
Marney O'Breen,New Zealand,Peanut Butter Cubes,03-08-2022,8379.0,173,Cash,Morning,
Beverie Moffet,Australia,Organic Choco Syrup,26-01-2022,6790.0,356,Card,Morning,
Van Tuxwell,Canada,Organic Choco Syrup,14-02-2022,4067.0,42,Card,Afternoon,
Roddy Speechley,USA,Smooth Sliky Salty,05-04-2022,3017.0,140,Cash,Morning,
Beverie Moffet,Canada,Milk Bars,16-02-2022,8799.0,250,Cash,Evening,
Curtice Advani,UK,85% Dark Bars,08-06-2022,1085.0,172,Cash,Afternoon,
Brien Boise,Australia,Eclairs,27-06-2022,6888.0,88,Card,Morning,
Gunar Cockshoot,USA,Spicy Special Slims,17-02-2022,1267.0,157,Cash,Afternoon,
Marney O'Breen,USA,After Nines,30-05-2022,4753.0,163,Card,Evening,
Husein Augar,UK,Drinking Coco,14-03-2022,3003.0,113,Card,Afternoon,
Kaine Padly,Australia,Eclairs,28-02-2022,7672.0,115,Card,Afternoon,
Karlen McCaffrey,India,Fruit & Nut Bars,26-01-2022,168.0,321,Cash,Afternoon,
Roddy Speechley,Canada,Spicy Special Slims,09-02-2022,1652.0,186,Cash,Afternoon,
Husein Augar,USA,Eclairs,07-07-2022,4025.0,112,Card,Afternoon,
Dennison Crosswaite,New Zealand,White Choc,05-07-2022,9492.0,151,Card,Evening,
Dennison Crosswaite,New Zealand,Manuka Honey Choco,15-06-2022,5061.0,301,Card,Morning,
Van Tuxwell,New Zealand,85% Dark Bars,24-05-2022,1722.0,121,Card,Afternoon,
Rafaelita Blaksland,UK,99% Dark & Pure,29-06-2022,12446.0,150,Cash,Evening,
Wilone O'Kielt,Australia,Manuka Honey Choco,11-05-2022,4284.0,94,Cash,Afternoon,
Karlen McCaffrey,UK,Almond Choco,30-06-2022,6839.0,133,Cash,Afternoon,
Andria Kimpton,Canada,After Nines,11-05-2022,2163.0,70,Card,Morning,
Roddy Speechley,USA,Manuka Honey Choco,22-07-2022,9583.0,315,Cash,Afternoon,
Andria Kimpton,UK,50% Dark Bites,24-08-2022,2653.0,314,Cash,Afternoon,
Kelci Walkden,New Zealand,After Nines,07-07-2022,147.0,72,Card,Afternoon,
Camilla Castle,Australia,85% Dark Bars,19-05-2022,3654.0,14,Cash,Evening,
Karlen McCaffrey,India,Manuka Honey Choco,04-07-2022,2443.0,581,UPI,Evening,
Kelci Walkden,USA,After Nines,02-06-2022,938.0,16,Card,Afternoon,
Karlen McCaffrey,USA,Raspberry Choco,15-04-2022,14749.0,354,Cash,Evening,
Mallorie Waber,Canada,Choco Coated Almonds,11-07-2022,4781.0,241,Card,Morning,
Andria Kimpton,India,Spicy Special Slims,23-02-2022,6307.0,142,Card,Afternoon,
Madelene Upcott,Canada,Almond Choco,22-08-2022,7602.0,102,Card,Evening,
Kaine Padly,USA,Peanut Butter Cubes,16-02-2022,6790.0,188,Cash,Morning,
Van Tuxwell,USA,50% Dark Bites,13-01-2022,9737.0,160,Cash,Afternoon,
Curtice Advani,Australia,Milk Bars,14-02-2022,6979.0,18,Cash,Evening,
Roddy Speechley,India,Eclairs,10-06-2022,4382.0,303,Card,Evening,
Curtice Advani,India,Fruit & Nut Bars,07-07-2022,5243.0,176,Cash,Afternoon,
Curtice Advani,Canada,Almond Choco,24-03-2022,4865.0,70,Card,Evening,
Brien Boise,Australia,Fruit & Nut Bars,06-06-2022,8575.0,23,Card,Evening,
Dotty Strutley,Australia,Drinking Coco,19-07-2022,91.0,135,Card,Evening,
Beverie Moffet,USA,Raspberry Choco,19-04-2022,14798.0,83,Cash,Morning,
Marney O'Breen,India,85% Dark Bars,19-07-2022,2205.0,179,Cash,Afternoon,
Jehu Rudeforth,Canada,Drinking Coco,15-07-2022,441.0,24,Cash,Evening,
Ches Bonnell,New Zealand,Spicy Special Slims,14-02-2022,3556.0,18,Cash,Evening,
Brien Boise,Canada,99% Dark & Pure,18-05-2022,16793.0,416,Cash,Afternoon,
Barr Faughny,Australia,Fruit & Nut Bars,30-06-2022,15421.0,55,Cash,Afternoon,
Andria Kimpton,Australia,50% Dark Bites,02-06-2022,4438.0,227,Card,Morning,
Andria Kimpton,Australia,Drinking Coco,28-06-2022,1603.0,48,Card,Afternoon,
Marney O'Breen,Australia,Organic Choco Syrup,16-05-2022,273.0,174,Card,Evening,
